CENTRAL,NODO,NUMCRUCE,DIRECCION,TIPO
7,20,261,AVENIDA REINA MERCEDES - TRAMONTANA - PROFESOR GARCIA GONZALEZ,MF5
13,2,262,CARRETERA SU EMINENCIA - ACCESO INDUYCO - PARQUE EMPRESARIAL EL REFUGIO,MFU
10,24,263,MARQUES DE PICKMAN - MARIANO BENLLIURE - ARZOBISPO SALCEDO,DYNAMIC_T3
51,20,264, CARRETERA DE BRENES - CARRETERA DE MIRAFLORES - VEREDA POCO ACEITE (CTRA-SE-112-VALDEZORRAS),MF5
14,2,265,CLEMENTE HIDALGO - ALEJANDRO COLLANTES (R.TAMARGUILLO - ALEJANDRO COLLANTES),MFU
8,6,266,RONDA DEL TAMARGUILLO - ALCAMPO - PIEL DE TORO,DYNAMIC
22,3,267,GLORIETA DE SAN LAZARO,MF
23,1,268, RONDA URBANA NORTE - AVENIDA PINO MONTANO - CORTIJO DE LAS CASILLAS - CORRAL DE LA CARIDAD,DYNAMIC
23,2,269,RONDA URBANA NORTE - POLIGONO STORE - CARRETERA MIRAFLORES,MFU
23,4,270,RONDA URBANA NORTE - POLIGONO CALONGE - METALURGIA,MFU
11,14,271,AVENIDA KANSAS CITY - EFESO - AVENIDA ALCALDE MANUEL DEL VALLE,MFU
8,27,272,AVENIDA DE RAMON CARANDE - SAN SALVADOR,DYNAMIC
11,16,273,AVENIDA ALCALDE MANUEL DEL VALLE - HESPERIDES - PUEBLO SAHARAUI,DYNAMIC
11,17,274,AVENIDA ALCALDE MANUEL DEL VALLE - BALTASAR DE ALCAZAR - THARSIS,MFU
11,18,275,AVENIDA ALCALDE MANUEL DEL VALLE - RAFAEL GONZALEZ ROMERO - AVENIDA DE LLANES,MFU
11,5,276,CARRETERA CARMONA - AVENIDA ALCALDE MANUEL DEL VALLE,MFU
15,28,277,PP. AVENIDA ALCALDE LUIS URU—UELA - PALACIO DE CONGRESOS - HOTEL SEVILLA CONGRESOS,SENTINEL
14,15,278,CARLOS MARX - AVENIDA PARQUE AMATE - AMOR,DYNAMIC
7,10,279,AVENIDA   MANUEL SIUROT - CARDENAL BUENO MONREAL,MF5
7,7,280,AVENIDA DE LA PALMERA - CARDENAL BUENO MONREAL,MF5
